model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_mean,normalized_RMSE_by_site_mean,MBE,underestimation_rate,peak_MAE,peak_underestimation_rate
Site_Train_Mean,validation,Arroyo_Garage_01,606,31.169045391438456,39.94996101852507,1.3263217882853473,1.6999719777935347,-6.120532940516747,36.633663366336634,82.0241447700347,100.0
Persistence_1h,validation,California_Garage_01,3377,0.87183007562144,3.3745716675038433,0.045378149737557306,0.17564411083083545,0.01971810616847119,9.623926562037312,23.072432860620747,78.57142857142857
Linear_Regression_All_Features,validation,California_Garage_01,3377,1.1723125586848455,3.490648073339954,0.06101805422266581,0.18168580711124185,0.5391845244683604,6.751554634290791,19.86816981323829,92.85714285714286
Ridge_Regression_All_Features,validation,California_Garage_01,3377,1.2187090924087194,3.5409149180155954,0.06343296156928935,0.1843021614540304,0.6049802091332156,6.307373408350607,19.877655201764167,92.85714285714286
Zero_Load,validation,California_Garage_01,3377,1.6989285703196737,6.474781410106849,0.08842805176505018,0.33700787408182825,-1.6989285703196737,17.559964465501928,62.71556369927438,100.0
Average_24h_168h,validation,California_Garage_01,3377,1.9267274941239174,5.347447710306873,0.10028482748717138,0.2783309382153366,0.3534673244798566,12.37785016286645,27.494995814143277,85.71428571428571
Persistence_24h,validation,California_Garage_01,3377,2.080474761576725,6.286145154568717,0.10828726594312937,0.32718948803493725,0.09809274722070757,13.355048859934854,34.591971211240676,92.85714285714286
Persistence_168h,validation,California_Garage_01,3377,2.1671805544751073,6.395421152549655,0.11280024222517823,0.33287722781102314,0.6088419017390055,12.585134734971867,21.976443720510478,78.57142857142857
Global_Train_Mean,validation,California_Garage_01,3377,11.322279444430528,11.92800358472511,0.5893167789991767,0.6208442996784194,10.160749652245066,3.5238377257921236,50.855885476709645,100.0
Site_Train_Mean,validation,California_Garage_01,3377,18.27933912243287,18.594715716062403,0.9514269018651293,0.9678420344576139,17.51362374094982,2.220906129700918,43.503011388004886,100.0
Persistence_1h,validation,California_Garage_02,2657,3.979807281707494,7.385016204639711,0.2537396544236256,0.4708447738891997,-3.1422194750399615e-17,27.662777568686487,18.378156181085192,85.18518518518519
Ridge_Regression_All_Features,validation,California_Garage_02,2657,4.197139859224744,6.81708651311813,0.2675960774136763,0.4346354116102868,0.528963377657223,25.479864508844564,23.446369920204365,100.0
Linear_Regression_All_Features,validation,California_Garage_02,2657,4.2123813502723415,6.821731407240397,0.2685678256410576,0.4349315550529192,0.5558381116034818,25.21640948438088,23.40813722267188,100.0
