model_name,split,MAE,RMSE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,peak_bias,high_peak_bias,peak_overestimation_rate,high_peak_overestimation_rate,top_10_percent_actual_peak_MAE,top_5_percent_actual_peak_MAE,actual_max_load_kw,predicted_load_at_actual_max_kw,actual_max_underprediction_kw,row_count,peak_row_count,high_peak_row_count,site_id
E-AHPA,validation,0.288528300936626,0.8419022219551316,0.767862093748942,0.17379016661099805,4.903283850652271,26.675663517768783,2.4569586927917393,,3.1383748780988467,,87.5,,-2.2454105977053804,,12.5,,0.9704893201918354,1.2006780388963203,12.575091789876833,10.39961279526163,2.1754789946152027,2223,24,0,Parking_Lot_01
E-AHPA,validation,1.0088899500330875,1.9324683964535734,0.7131435476148968,0.2661162872209334,15.760869565217392,42.7536231884058,3.5770822986819173,5.0940436282217885,4.562524365565265,5.948207719295773,89.14728682170544,95.0,-3.37409943663468,-5.014540686609925,10.852713178294573,5.0,2.9481692515029363,3.777679796095182,21.08775397980203,12.753612415696036,8.334141564105995,2208,129,40,S_Wilson_Garage_01
PRC-E-AHPA,validation,5.507580091569633,9.13324007607037,0.9464780136480303,1.1689158713388608,25.412541254125415,74.58745874587459,9.951337100145606,10.817966920372863,13.132666757786296,13.823688282444168,58.94736842105262,74.54545454545455,-3.9109408061621314,-8.155153879711026,41.05263157894737,25.454545454545453,10.27976785047741,11.693717213181385,151.48691192258457,116.55315548311168,34.93375643947289,606,95,55,Arroyo_Garage_01
PRC-E-AHPA,validation,0.7745477921704457,2.5593323278368354,0.8322033814592221,0.24037329309612393,7.521468759253776,29.01984009475866,15.19294927531601,14.406459934789398,22.097007467274747,18.53267114522495,85.71428571428571,100.0,-14.077546944888732,-14.406459934789398,14.285714285714285,0.0,4.249922626367477,6.43127786128402,76.41678347251602,46.92199775363399,29.494785718882028,3377,14,3,California_Garage_01
PRC-E-AHPA,validation,3.9289938626251537,6.589045984156939,0.5895015395823069,0.14371513986462636,24.72713586751976,63.34211516748213,23.689845865300008,31.29888440776954,25.626097393040567,31.476364572984764,96.29629629629629,100.0,-23.46790249197081,-31.29888440776954,3.7037037037037033,0.0,12.238732731205593,15.764269204845537,82.98885018964796,50.72110872649633,32.26774146315163,2657,27,3,California_Garage_02
PRC-E-AHPA,validation,21.072284552603268,68.08012252088584,0.10146354163727023,-1.688561408767451,33.20726172465961,66.7927382753404,37.68322204817406,54.83659477384523,120.4467247490951,160.40546486105404,81.25,91.92825112107623,-33.71744173774925,-53.485787126917764,18.75,8.071748878923767,80.19276104530083,127.69429882148064,1606.9177187074972,66.21228614090619,1540.705432566591,1322,400,223,N_Wilson_Garage_01
PRC-E-AHPA,validation,0.288528300936626,0.8419022219551316,0.767862093748942,0.17379016661099805,4.903283850652271,26.675663517768783,2.4569586927917393,,3.1383748780988467,,87.5,,-2.2454105977053804,,12.5,,0.9704893201918354,1.2006780388963203,12.575091789876833,10.39961279526163,2.1754789946152027,2223,24,0,Parking_Lot_01
PRC-E-AHPA,validation,1.0088899500330875,1.9324683964535734,0.7131435476148968,0.2661162872209334,15.760869565217392,42.7536231884058,3.5770822986819173,5.0940436282217885,4.562524365565265,5.948207719295773,89.14728682170544,95.0,-3.37409943663468,-5.014540686609925,10.852713178294573,5.0,2.9481692515029363,3.777679796095182,21.08775397980203,12.753612415696036,8.334141564105995,2208,129,40,S_Wilson_Garage_01
PS-EAHPA,validation,4.580610286249474,7.684785756273393,0.9621081329955687,0.18715447655069017,29.372937293729372,70.62706270627062,8.068824721844889,9.215440795191554,10.63244918688524,11.246142139320575,62.10526315789474,81.81818181818183,-3.987056322118277,-7.270607013747477,37.89473684210527,18.181818181818183,8.779420443055075,10.235085242425455,151.48691192258457,125.08586321330412,26.401048709280445,606,95,55,Arroyo_Garage_01
PS-EAHPA,validation,0.6804091625076384,2.399293793755057,0.8525323698719894,0.05764335519242713,9.120521172638437,90.87947882736157,17.362018968869865,15.90561155064686,23.155362465454097,19.847042126406983,78.57142857142857,100.0,-13.322762998368827,-15.90561155064686,21.428571428571427,0.0,4.126816447160909,6.141623883572206,76.41678347251602,43.8172035880335,32.599579884482516,3377,14,3,California_Garage_01
