scenario_id,horizon_scenario,charger_power_kw,capacity_scenario,forecast_signal_scenario,comparison_strategy,peak_reduction_difference,capacity_violation_difference,unserved_energy_difference,energy_delivery_difference,uncertainty_aware_best_for_capacity_risk,uncertainty_aware_best_for_peak_reduction,uncertainty_aware_safer_but_more_conservative
23,original_calendar_aligned,7.2,capacity_p95_plus_10percent,prc_peak_sensitive,peak_sensitive,0.0,0,5.204170427930421e-18,0.0,False,False,False
23,original_calendar_aligned,7.2,capacity_p95_plus_10percent,prc_peak_sensitive,point_forecast,0.0,0,5.204170427930421e-18,0.0,False,False,False
23,original_calendar_aligned,7.2,capacity_p95_plus_10percent,prc_peak_sensitive,uncontrolled,42.773191154600056,-126,-2.463307335887066e-16,1.4551915228366852e-11,False,False,False
23,original_calendar_aligned,7.2,capacity_p95_plus_10percent,prc_peak_sensitive,valley_filling,-13.517047766697111,5,-1.231653667943533e-16,1.4551915228366852e-11,False,False,False
24,original_calendar_aligned,7.2,capacity_p95_plus_10percent,upper_bound,peak_sensitive,0.0,0,5.204170427930421e-18,0.0,False,False,False
24,original_calendar_aligned,7.2,capacity_p95_plus_10percent,upper_bound,point_forecast,0.0,0,5.204170427930421e-18,0.0,False,False,False
24,original_calendar_aligned,7.2,capacity_p95_plus_10percent,upper_bound,uncontrolled,42.773191154600056,-126,-2.463307335887066e-16,1.4551915228366852e-11,False,False,False
24,original_calendar_aligned,7.2,capacity_p95_plus_10percent,upper_bound,valley_filling,-13.517047766697111,5,-1.231653667943533e-16,1.4551915228366852e-11,False,False,False
25,original_calendar_aligned,7.2,capacity_historical_peak,eahpa_point,peak_sensitive,0.0,0,6.938893903907228e-18,0.0,True,False,False
25,original_calendar_aligned,7.2,capacity_historical_peak,eahpa_point,point_forecast,0.0,0,6.938893903907228e-18,0.0,True,False,False
25,original_calendar_aligned,7.2,capacity_historical_peak,eahpa_point,uncontrolled,29.48512307843752,0,-2.42861286636753e-16,1.4551915228366852e-11,True,False,False
25,original_calendar_aligned,7.2,capacity_historical_peak,eahpa_point,valley_filling,-26.805115842859646,0,-1.196959198423997e-16,1.4551915228366852e-11,True,False,True
26,original_calendar_aligned,7.2,capacity_historical_peak,prc_peak_sensitive,peak_sensitive,0.0,0,6.938893903907228e-18,0.0,True,False,False
26,original_calendar_aligned,7.2,capacity_historical_peak,prc_peak_sensitive,point_forecast,0.0,0,6.938893903907228e-18,0.0,True,False,False
26,original_calendar_aligned,7.2,capacity_historical_peak,prc_peak_sensitive,uncontrolled,29.48512307843752,0,-2.42861286636753e-16,1.4551915228366852e-11,True,False,False
26,original_calendar_aligned,7.2,capacity_historical_peak,prc_peak_sensitive,valley_filling,-26.805115842859646,0,-1.196959198423997e-16,1.4551915228366852e-11,True,False,True
